,Название продукта,Бренд,Срок годности,Количество в упаковке,Единица измерения,Вес упаковки,Цена,Категория,Длина упаковки,Ширина упаковки,Высота упаковки,Обработка названия,Код категории
512,"Nutrex Research, L-карнитин 3000, апельсин и манго, 465 мл (15,72 жидк. унции)",Nutrex Research,2026-06-01,464.895,мл,0.53,3489,Аминокислоты,21.8,6.5,6.4,карнитин апельсин манго,1
513,"Dr. Mercola, комплекс с карнитином, 1000 мг, 60 капсул (500 мг в 1 капсуле)",Dr. Mercola,2025-11-01,60,шт.,0.2,4694,Аминокислоты,10.2,5.6,5.6,комплекс карнитин,1
514,"Swanson, L-карнитин, 500 мг, 30 таблеток",Swanson,2025-11-01,30,шт.,0.08,880,Аминокислоты,8.8,4.6,4.6,карнитин,1
515,"Vital Nutrients, Карнитин, 60 веганских капсул",Vital Nutrients,2025-04-01,60,шт.,0.07,7734,Аминокислоты,9.7,5.2,5.1,карнитин,1
516,"ALLMAX, L-карнитин и тартрат, 120 капсул",ALLMAX,2025-12-01,120,шт.,0.16,4290,Аминокислоты,14.0,6.6,6.6,карнитин тартрат,1
517,"GAT, L-карнитин, 60 растительных капсул",GAT,2025-06-01,60,шт.,0.07,2762,Аминокислоты,10.9,6.6,6.6,карнитин,1
518,"ProSupps, L-карнитин 3000, Liquid Shot, голубая малина, 473 мл (16 жидк. унций)",ProSupps,2026-01-01,473,мл,0.54,5102,Аминокислоты,18.2,6.9,6.9,карнитин liquid shot голубой малина,1
519,"NOW Foods, L-карнитин, чистый порошок, 85 г (3 унции)",NOW Foods,2026-10-01,85,г,0.11,3802,Аминокислоты,5.8,5.8,10.9,карнитин чистый порошок,1
520,"Swanson, L-карнитин, 500 мг, 100 таблеток",Swanson,2025-11-01,100,шт.,0.19,2411,Аминокислоты,11.0,5.8,5.7,карнитин,1
521,"Codeage, липосомальный L-карнитин+, аминокислота в свободной форме, улучшенное усвоение, 90 капсул",Codeage,2025-12-01,90,шт.,0.11,5898,Аминокислоты,9.4,6.6,6.6,липосомальный карнитин+ аминокислота свободный форма улучшать усвоение,1
522,"Nutrakey, L-карнитин 3000, вкусный арбуз, 473 мл (16 жидк. Унций)",Nutrakey,2025-08-01,473,мл,0.54,3795,Аминокислоты,21.7,6.4,6.4,карнитин вкусный арбуз,1
523,"Swanson, L-карнитин фумарат, 450 мг, 60 капсул",Swanson,2024-05-01,60,шт.,0.1,4109,Аминокислоты,10.5,4.8,4.8,карнитин фумарат,1
524,"ProSupps, L-карнитин 3000, Liquid Shot, зеленое яблоко, 473 мл (16 жидк. унций)",ProSupps,2026-01-01,473,мл,0.54,5102,Аминокислоты,18.2,6.9,6.7,карнитин liquid shot зеленый яблоко,1
525,"VMI Sports, L-карнитин 3000, Patriot Pop, 473 мл (16 жидк. Унций)",VMI Sports,2025-08-01,473,мл,0.57,4125,Аминокислоты,21.6,6.6,6.4,карнитин patriot pop,1
526,"NOW Foods, L-карнитин, 500 мг, 180 растительных капсул",NOW Foods,2027-11-01,180,шт.,0.23,6745,Аминокислоты,13.2,7.4,7.4,карнитин,1
527,"Ronnie Coleman, Vital Edition, XS 3000, L-карнитин, со вкусом черешни, 473,28 мл (16 жидк. унций)",Ronnie Coleman,2025-02-01,473,мл,0.48,3340,Аминокислоты,21.8,6.4,6.4,vital edition карнитин вкус черешня,1
528,"Snap Supplements, Жевательные мармеладки с L-карнитином, без сахара, голубика, 60 жевательных таблеток",Snap Supplements,2025-05-01,60,шт.,0.29,3060,Аминокислоты,12.3,6.9,6.9,жевательный мармеладка карнитин сахар голубика,1
529,"Nutra BioGenesis, L-карнитин, 60 капсул",Nutra BioGenesis,2025-03-01,60,шт.,0.07,6834,Аминокислоты,10.5,5.0,5.0,карнитин,1
530,"NutraBio, L-карнитин, 500 мг, 90 растительных капсул",NutraBio,2025-06-01,90,шт.,0.11,3489,Аминокислоты,11.0,5.7,5.6,карнитин,1
531,"Nutricost, L-карнитина тартрат, 1000 мг, 240 капсул (500 мг в 1 капсуле)",Nutricost,2026-11-01,240,шт.,0.27,3484,Аминокислоты,13.5,8.1,8.0,карнитин тартрат,1
532,"GAT, L-карнитин, аминокислота в свободной форме, со вкусом зеленого яблока, 473 мл (16 унций)",GAT,2024-05-01,454,г,0.54,3795,Аминокислоты,17.0,7.4,7.4,карнитин аминокислота свободный форма вкус зеленый яблоко,1
533,"VMI Sports, L-карнитин 3000, персик и манго, 473 мл (16 жидк. Унций)",VMI Sports,2025-12-01,473,мл,0.59,4125,Аминокислоты,21.7,7.1,6.4,карнитин персик манго,1
534,"ALLMAX, жидкий L-карнитин 1500, голубая малина, 473 мл (16 уний)",ALLMAX,2026-01-01,454,г,0.55,3209,Аминокислоты,21.6,6.4,6.4,жидкий карнитин голубой малина,1
535,"Ronnie Coleman, Vital Series, L-карнитинXS 1500, клубника и киви, 473,28 мл (16 жидк. унций)",Ronnie Coleman,2025-06-01,473,мл,0.57,2287,Аминокислоты,21.8,6.4,6.4,vital series карнитинxs клубника киви,1
536,"VMI Sports, L-карнитин 1500 тепла, бабушкиное яблоко, 473 мл (16 жидк. Унций)",VMI Sports,2024-05-01,473,мл,0.61,3795,Аминокислоты,21.7,6.4,6.4,карнитин тепло бабушкиноя яблоко,1
537,"Ronnie Coleman, Vital Series, L-карнитинXS 1500, манго и ананас, 473,28 мл (16 жидк. унций)",Ronnie Coleman,2025-06-01,473,мл,0.57,2287,Аминокислоты,21.7,6.4,6.4,vital series карнитинxs манго ананас,1
538,"MuscleSport, L-карнитин, Revolution`` 60 капсул",MuscleSport,2024-09-01,60,шт.,0.09,5422,Аминокислоты,11.2,6.5,6.5,карнитин,1
539,"Jarrow Formulas, L-карнитин 500, 500 мг, 100 вегетарианских капсул Licaps",Jarrow Formulas,2025-06-01,100,шт.,0.14,5222,Аминокислоты,11.6,6.2,6.1,карнитин,1
540,"Natural Factors, L-карнитин, 500 мг, 60 вегетарианских капсул",Natural Factors,2027-08-01,60,шт.,0.08,3135,Аминокислоты,10.0,5.6,5.6,карнитин,1
541,"Ronnie Coleman, Vital Edition, L-карнитин XS 3000, ягодное ассорти, 473,28 мл (16 жидк. Унций)",Ronnie Coleman,2026-01-01,473,мл,0.54,3340,Аминокислоты,21.7,6.4,6.4,vital edition карнитин ягодный ассорти,1
542,"Solaray, L-карнитин, 500 мг, 60 вегетарианских капсул",Solaray,2027-01-01,60,шт.,0.09,3528,Аминокислоты,10.9,5.0,5.0,карнитин,1
543,"Isatori, L-карнитин LS3 1500, малибу-бич, 480 мл (16 жидк. унций)",Isatori,2025-11-01,473,мл,0.54,3795,Аминокислоты,21.8,6.4,6.4,карнитин ls3 малиб бич,1
544,"NOW Foods, L-карнитин, 1000 мг, 50 таблеток",NOW Foods,2027-10-01,50,шт.,0.14,3263,Аминокислоты,11.2,6.4,6.4,карнитин,1
545,"Thorne, L-карнитин, 60 капсул",Thorne,2026-07-01,60,шт.,0.07,7143,Аминокислоты,9.5,5.2,5.2,карнитин,1
546,"VMI Sports, L-карнитин 1500 Heat, Patriot Pop, 473 мл (16 жидк. Унций)",VMI Sports,2025-02-01,473,мл,0.61,3795,Аминокислоты,21.7,6.4,6.4,карнитин heat patriot pop,1
547,"Ronnie Coleman, Vital Series, L-карнитинXS 1500, кислое яблоко, 473,28 мл (16 жидк. унций)",Ronnie Coleman,2025-06-01,473,мл,0.59,2287,Аминокислоты,21.8,6.4,6.4,vital series карнитинxs кислый яблоко,1
548,"Ronnie Coleman, Vital Edition, XS 3000, L-карнитин, со вкусом голубой малины, 473,28 мл (16 жидк. унций)",Ronnie Coleman,2025-11-01,473,мл,0.52,3340,Аминокислоты,21.8,6.4,6.4,vital edition карнитин вкус голубой малина,1
549,"Best Naturals, L-карнитин, 1000 мг, 120 таблеток",Best Naturals,2026-10-01,120,шт.,0.23,4069,Аминокислоты,11.3,6.1,6.1,карнитин,1
550,"GAT, L-карнитин, аминокислота, жевательная конфета, 1500 мг, 473 мл (16 унций)",GAT,2024-05-01,454,г,0.52,3340,Аминокислоты,18.3,6.9,6.9,карнитин аминокислота жевательный конфета,1
551,"Nutrakey, L-карнитин 3000, маракуйя, 473 мл (16 жидк. Унций)",Nutrakey,,473,мл,0.52,3795,Аминокислоты,21.7,6.4,6.2,карнитин маракуйя,1
552,"VMI Sports, L-карнитин 1500 тепла, персик и манго, 473 мл (16 жидк. Унций)",VMI Sports,2025-02-01,473,мл,0.59,3795,Аминокислоты,21.7,6.4,6.4,карнитин тепло персик манго,1
553,"Isatori, L-карнитин, жидкая смесь для кетодиеты, малибу, 360 мл (12 жидк. унций)",Isatori,2025-11-01,355,мл,0.43,3065,Аминокислоты,17.4,6.4,6.4,карнитин жидкий смесь кетодиета малиб,1
554,"Cutler Nutrition, L-карнитин Max, тропический вкус, 206 г (7,26 унции)",Cutler Nutrition,2025-10-01,206,г,0.27,7141,Аминокислоты,11.0,9.3,9.3,карнитин max тропический вкус,1
555,"ALLMAX, жидкий L-карнитин 1500, фруктовый пунш, 473 мл (16 уний)",ALLMAX,2025-06-01,454,г,0.55,3209,Аминокислоты,6.4,21.6,6.4,жидкий карнитин фруктовый пунш,1
556,"NOW Foods, Sports, жидкий L-карнитин, со вкусом лимона, 1000 мг, 473 мл (16 жидк. унций)",NOW Foods,2025-06-01,473,мл,0.54,2619,Аминокислоты,17.8,7.1,7.1,sports жидкий карнитин вкус лимон,1
557,"Purus Labs, Foundation Series, L-карнитин, 100 желатиновых капсул",Purus Labs,2024-12-01,100,шт.,0.11,2762,Аминокислоты,12.3,5.5,5.1,foundation series карнитин,1
558,"Swanson, Пропионил-L-карнитин с глицином, 60 растительных капсул",Swanson,,60,шт.,0.09,5182,Аминокислоты,10.5,5.0,5.0,пропионить карнитин глицин,1
559,"Metabolic Nutrition, Carni-10, 5000 мг, 240 капсул (625 мг в 1 капсуле)",Metabolic Nutrition,2025-11-01,240,шт.,0.29,8196,Аминокислоты,15.9,8.0,7.9,carni,1
560,"NutraBio, Performance, LeanShots L-карнитин 3000, зеленое яблоко, 473 мл (16 жидк. унций)",NutraBio,2025-07-01,473,мл,0.59,5102,Аминокислоты,21.7,6.5,6.4,performance leanshots карнитин зеленый яблоко,1
561,"Ronnie Coleman, Vital Series, L-карнитин RS 1500, апельсиновый вкус, 473,28 мл (16 жидк. унций)",Ronnie Coleman,2025-06-01,473,мл,0.57,2287,Аминокислоты,21.8,6.4,6.4,vital series карнитин апельсиновый вкус,1
562,"Isatori, L-карнитин LS3 1500, розовый лимонад, 480 мл (16 жидк. унций)",Isatori,2026-04-01,473,мл,0.57,3795,Аминокислоты,21.8,6.4,6.4,карнитин ls3 розовый лимонад,1
563,"VMI Sports, L-карнитин 1500 Heat, Miami Vice, 473 мл (16 жидк. Унций)",VMI Sports,2025-02-01,473,мл,0.59,3795,Аминокислоты,21.7,7.2,6.4,карнитин heat miami vice,1
564,"Nutrakey, ацетил-L-карнитин, 1000 мг, 60 капсул (500 мг в 1 капсуле)",Nutrakey,2025-07-01,60,шт.,0.09,2195,Аминокислоты,10.5,5.0,4.8,ацетил карнитин,1
565,"Top Secret Nutrition, Sport, огненный шар с парадоксином, L-карнитин, воспламенитель, Red Hot Fireball, 459 мл (16 жидк. Унций)",Top Secret Nutrition,2025-11-01,473,мл,0.52,3489,Аминокислоты,21.6,6.5,6.5,sport огненный шар парадоксин карнитин воспламенитель red hot fireball,1
566,"NutraBio, Performance, LeanShots L-карнитин 3000, голубая малина, 473 мл (16 жидк. унций)",NutraBio,2025-07-01,473,мл,0.59,5102,Аминокислоты,21.7,6.4,6.4,performance leanshots карнитин голубой малина,1
567,"EVLution Nutrition, L-карнитин, ягодный вкус, 465 мл (16 жидк. унций)",EVLution Nutrition,2025-09-01,473,мл,0.52,2282,Аминокислоты,17.7,7.9,7.6,карнитин ягодный вкус,1
568,"VMI Sports, L-карнитин 1500 тепла, жевательная мармеладка, 473 мл (16 жидк. Унций)",VMI Sports,2025-02-01,473,мл,0.59,3795,Аминокислоты,21.6,6.4,6.4,карнитин тепло жевательный мармеладка,1
569,"Nutrakey, L-карнитин 3000, морщинка из зеленого яблока, 473 мл (16 жидк. Унций)",Nutrakey,2025-10-01,473,мл,0.54,3795,Аминокислоты,21.6,6.4,6.4,карнитин морщинка зеленый яблоко,1
570,"NOW Foods, Sports, жидкий L-карнитин, вкус цитрусовых, 1000 мг, 946 мл (32 жидк. унции)",NOW Foods,2025-10-01,32,Not provided,1.13,4211,Аминокислоты,9.1,9.1,21.8,sports жидкий карнитин вкус цитрусовый,1
571,"Solaray, L-карнитин, 500 мг, 30 вегетарианских капсул",Solaray,2026-07-01,30,шт.,0.05,3065,Аминокислоты,10.9,5.0,4.8,карнитин,1
572,"Ronnie Coleman, Vital Series, L-карнитинXS 1500, ягодное ассорти, 473,28 мл (16 жидк. унций)",Ronnie Coleman,2025-06-01,473,мл,0.57,2287,Аминокислоты,21.8,6.4,6.4,vital series карнитинxs ягодный ассорти,1
573,"Top Secret Nutrition, Sport, огненный шар с парадоксином, воспламенитель с L-карнитином, ананас, 459 мл (16 жидк. Унций)",Top Secret Nutrition,2025-07-01,473,мл,0.52,3489,Аминокислоты,21.5,6.6,6.5,sport огненный шар парадоксин воспламенитель карнитин ананас,1
574,"NutraBio, LeanShots, L-карнитин 3000, персиковые колечки, 473 мл (16 жидк. унций)",NutraBio,2025-07-01,473,мл,0.59,5102,Аминокислоты,21.7,6.5,6.4,leanshots карнитин персиковый колечко,1
575,"Isatori, L-карнитин, жидкая смесь для кетодиеты, розовый лимонад, 360 мл (12 жидк. унций)",Isatori,,355,мл,0.43,3065,Аминокислоты,17.1,6.5,6.4,карнитин жидкий смесь кетодиета розовый лимонад,1
576,"Nutrakey, L-карнитин 3000, апельсиновое наслаждение, 473 мл (16 жидк. Унций)",Nutrakey,2025-10-01,473,мл,0.54,3795,Аминокислоты,21.6,6.4,6.4,карнитин апельсиновый наслаждение,1
577,"VMI Sports, L-карнитин 1500 тепла, апельсин и ананас, 473 мл (16 жидк. Унций)",VMI Sports,2024-06-01,473,мл,0.57,3795,Аминокислоты,21.7,6.4,6.4,карнитин тепло апельсин ананас,1
578,"Ronnie Coleman, Vital Series, L-карнитинXS 1500, голубая малина, 473,28 мл (16 жидк. унций)",Ronnie Coleman,2025-06-01,473,мл,0.59,2287,Аминокислоты,21.8,6.4,6.4,vital series карнитинxs голубой малина,1
579,"Ronnie Coleman, Vital Series, L-карнитин RS 3000, клубника и киви, 473,28 мл (16 жидк. унций)",Ronnie Coleman,2025-02-01,473,мл,0.52,3340,Аминокислоты,21.8,6.4,6.2,vital series карнитин клубника киви,1
580,"SteelFit, Steel Burn, островной ананас, 3000 мг, 473 мл (16 унций)",SteelFit,2024-08-01,454,г,0.57,5341,Аминокислоты,21.8,6.4,6.4,steel burn островной ананас,1
581,"VMI Sports, L-карнитин 3000, апельсин и ананас, 473 мл (16 жидк. Унций)",VMI Sports,2025-08-01,473,мл,0.59,4125,Аминокислоты,21.7,8.5,6.4,карнитин апельсин ананас,1
582,"Doctor's Best, L-карнитин фумарат с карнитинами Biosint, 855 мг, 60 вегетарианских капсул",Doctor's Best,,60,шт.,0.09,3113,Аминокислоты,10.0,5.3,5.2,карнитин фумарат карнитин biosint,1
583,"Nutrex Research, Black Series, жидкий карнитин 3000, вишневый лайм, 480 мл (16 жидк. Унций)",Nutrex Research,2026-06-01,473,мл,0.57,2939,Аминокислоты,16.5,6.9,6.6,black series жидкий карнитин вишневый лайм,1
584,"Nutrakey, L-карнитин 3000, кислые мармеладки, 473 мл (16 жидк. Унций)",Nutrakey,2026-02-01,473,мл,0.54,3795,Аминокислоты,21.6,6.4,6.4,карнитин кислый мармеладка,1
585,"Isatori, L-карнитин LS3 1500, виноград, 480 мл (16 жидк. унций)",Isatori,2025-12-01,473,мл,0.57,3795,Аминокислоты,21.8,6.4,6.4,карнитин ls3 виноград,1
586,"VMI Sports, L-карнитин 3000, яблоко, 473 мл (16 жидк. Унций)",VMI Sports,2025-08-01,473,мл,0.57,4125,Аминокислоты,21.7,7.0,6.5,карнитин яблоко,1
587,"Isatori, L-карнитин LS3 1500, ягодное ассорти, 480 мл (16 жидк. унций)",Isatori,2026-03-01,473,мл,0.54,3795,Аминокислоты,21.8,6.4,6.4,карнитин ls3 ягодный ассорти,1
588,"Ronnie Coleman, Vital Series, L-карнитинXS 1500, дикая вишня, 473,28 мл (16 жидк. унций)",Ronnie Coleman,2025-06-01,473,мл,0.59,2287,Аминокислоты,21.7,6.4,6.4,vital series карнитинxs дикий вишня,1
589,"MuscleSport, Carnishred, Revolution, Baja Splash, 120 г (4,3 унции)",MuscleSport,2025-01-01,121,г,0.18,6680,Аминокислоты,9.1,9.1,8.8,carnishred revolution baja splash,1
590,"Isatori, L-карнитин LS3 1500, голубая малина, 480 мл (16 жидк. унций)",Isatori,2025-12-01,473,мл,0.57,3795,Аминокислоты,21.8,6.5,6.4,карнитин ls3 голубой малина,1
591,"NOW Foods, Clinical Cardio, Поддержка сердечно-сосудистой системы, 90 растительных капсул",NOW Foods,2025-10-01,90,шт.,0.11,4208,Аминокислоты,13.0,10.2,5.8,clinical cardio поддержка сердечно-сосудистый система,1
592,"SteelFit, Steel Burn, жидкий L-карнитин, карамельное яблоко, 3000 мг, 473 мл (16 унций)",SteelFit,2026-01-01,454,г,0.5,5341,Аминокислоты,21.8,6.4,6.4,steel burn жидкий карнитин карамельный яблоко,1
593,"NOW Foods, L-карнитин, 500 мг, 60 растительных капсул",NOW Foods,2027-10-01,60,шт.,0.09,2903,Аминокислоты,10.7,5.1,5.1,карнитин,1
594,"Isatori, L-карнитин для сжигания жира, жидкая смесь для приготовления кетодиеты, ягодное ассорти, 360 мл (12 жидк. унций)",Isatori,2028-01-01,355,мл,0.43,3065,Аминокислоты,17.3,6.4,6.4,карнитин сжигание жир жидкий смесь приготовление кетодиета ягодный ассорти,1
595,"Ronnie Coleman, Vital Series, L-карнитинXS 1500, со вкусом винограда, 473,28 мл (16 жидк. унций)",Ronnie Coleman,2025-06-01,473,мл,0.59,2287,Аминокислоты,21.8,6.4,6.4,vital series карнитинxs вкус виноград,1
596,"Jarrow Formulas, L-карнитин 500, 500 мг, 50 вегетарианских капсул",Jarrow Formulas,2025-08-01,50,шт.,0.07,3523,Аминокислоты,9.5,5.2,5.2,карнитин,1
597,"MuscleSport, Carnishred, Revolution, сладкий пунш, 120 г (4,3 унции)",MuscleSport,2024-09-01,121,г,0.18,6680,Аминокислоты,9.1,9.1,8.8,carnishred revolution сладкий пунш,1
598,"Isatori, L-карнитин LS3 3000, бомба, 473 мл (16 жидк. унций)",Isatori,,473,мл,0.57,5102,Аминокислоты,21.8,6.5,6.4,карнитин ls3 бомба,1
599,"BodyTech, L-карнитин 3000, Candy Punch, 709 мл (24 жидк. унции)",BodyTech,,710,мл,0.84,5102,Аминокислоты,18.2,8.0,8.0,карнитин candy punch,1
600,"NOW Foods, L-карнитин, 250 мг, 60 растительных капсул",NOW Foods,2026-05-01,60,шт.,0.09,1793,Аминокислоты,10.7,5.1,5.1,карнитин,1
601,"Swanson, Ацетил L-карнитин, 500 мг, 100 растительных капсул",Swanson,2025-07-01,100,шт.,0.12,2915,Аминокислоты,11.0,5.7,5.7,ацетил карнитин,1
602,"Ronnie Coleman, Vital Edition, L-карнитинXS 3000, манго и ананас, 473,28 мл (16 жидк. Унций)",Ronnie Coleman,2025-11-01,473,мл,0.54,3340,Аминокислоты,21.8,6.4,6.4,vital edition карнитинxs манго ананас,1
603,"Swanson, Ацетил L-карнитин, 500 мг, 240 растительных капсул",Swanson,2025-04-01,240,шт.,0.27,5582,Аминокислоты,13.6,7.6,7.6,ацетил карнитин,1
604,"Isatori, L-карнитин LS3 3000, жевательный мишка, 480 мл (16 жидк. унций)",Isatori,2027-09-01,473,мл,0.54,5102,Аминокислоты,21.8,6.5,6.4,карнитин ls3 жевательный мишка,1
605,"BodyTech, L-карнитин 3000, персик и манго, 709 мл (24 жидк. унции)",BodyTech,,710,мл,0.84,5102,Аминокислоты,18.2,8.0,8.0,карнитин персик манго,1
606,"Isatori, L-карнитин LS3 3000, лимон и лайм, 480 мл (16 жидк. унций)",Isatori,2026-06-01,473,мл,0.57,5102,Аминокислоты,21.8,6.4,6.4,карнитин ls3 лимон лайм,1
607,"Nutrex Research, L-карнитин 3000, ягодный вкус, 465 мл (15,72 жидк. унции)",Nutrex Research,,464.895,мл,0.54,3489,Аминокислоты,21.8,6.5,6.4,карнитин ягодный вкус,1
608,"NOW Foods, Sports, жидкий L-карнитин, со вкусом тропических фруктов, 1000 мг, 473 мл (16 жидк. унций)",NOW Foods,2025-10-01,473,мл,0.57,2619,Аминокислоты,7.1,7.1,18.0,sports жидкий карнитин вкус тропический фрукт,1
609,"ProSupps, L-карнитин 1500, ягодный вкус, 1500 мг, 473 мл (16 жидк. унций)",ProSupps,,473,мл,0.56,3795,Аминокислоты,20.3,6.9,6.9,карнитин ягодный вкус,1
610,"Source Naturals, L-карнитин, 500 мг, 120 капсул",Source Naturals,2026-08-01,120,шт.,0.14,4590,Аминокислоты,12.7,6.6,6.6,карнитин,1
611,"Nature's Answer, жидкий L-карнитин, 480 мл (16 жидк. унций)",Nature's Answer,2026-09-01,473,мл,0.82,3316,Аминокислоты,17.1,7.4,7.2,жидкий карнитин,1
612,"NOW Foods, Sports, жидкий L-карнитин тройной силы, цитрусовый вкус, 3000 мг, 473 мл (16 жидких унций)",NOW Foods,2026-02-01,473,мл,0.6,4209,Аминокислоты,17.3,6.9,6.9,sports жидкий карнитин тройной сила цитрусовый вкус,1
613,"NOW Foods, L-карнозин, 500 мг, 100 растительных капсул",NOW Foods,2025-10-01,100,шт.,0.09,6172,Аминокислоты,5.8,5.8,10.9,карнозин,1
614,"KAL, L-карнозин, 500 мг, 30 таблеток",KAL,2026-01-01,30,шт.,0.07,3210,Аминокислоты,10.9,5.0,4.8,карнозин,1
615,"Nutricost, L-карнозин, 500 мг, 120 капсул",Nutricost,2026-11-01,120,шт.,0.11,6207,Аминокислоты,11.6,6.4,6.2,карнозин,1
616,"Nutricost, L-карнозин, без добавок, 50 г (1,8 унции)",Nutricost,2026-06-01,51,г,0.09,5095,Аминокислоты,7.2,7.2,6.2,карнозин добавка,1
617,"Nutricost, L-карнозин, без добавок, 100 г (3,5 унции)",Nutricost,2026-11-01,100,г,0.14,8190,Аминокислоты,9.3,9.3,9.1,карнозин добавка,1
618,"Natural Factors, L-карнозин, 500 мг, 60 вегетарианских капсул",Natural Factors,2026-01-01,60,шт.,0.07,4204,Аминокислоты,10.0,5.6,5.5,карнозин,1
619,"Source Naturals, L-карнозин, 500 мг, 60 таблеток",Source Naturals,2026-03-01,60,шт.,0.11,4698,Аминокислоты,9.9,5.6,5.6,карнозин,1
620,"Swanson, L-карнозин, 500 мг, 60 капсул",Swanson,2024-12-01,60,шт.,0.07,3924,Аминокислоты,10.5,5.0,5.0,карнозин,1
621,"Paradise Herbs, L-карнозин, 60 вегетарианских капсул",Paradise Herbs,2026-12-01,60,шт.,0.04,3489,Аминокислоты,9.9,5.3,5.3,карнозин,1
622,"Source Naturals, GastricSoothe, 37,5 мг, 30 капсул",Source Naturals,2027-06-01,30,шт.,0.02,1709,Аминокислоты,4.3,4.3,7.6,gastricsoothe,1
623,"Swanson, Telomere Advantage, 60 растительных капсул",Swanson,2025-04-01,60,шт.,0.08,3629,Аминокислоты,10.5,4.8,4.8,telomere advantage,1
624,"Advance Physician Formulas, L-карнозин, 500 мг, 30 капсул",Advance Physician Formulas,2025-07-01,30,шт.,0.02,2568,Аминокислоты,7.7,6.4,4.3,карнозин,1
625,"Dr. Mercola, Липосомальный карнозин, 250 мг, 30 капсул",Dr. Mercola,2025-07-01,30,шт.,0.11,6680,Аминокислоты,8.9,4.8,4.8,липосомальный карнозин,1
626,"Kirkman Labs, L-карнозин, 200 мг, 90 капсул",Kirkman Labs,2026-03-01,90,шт.,0.07,6990,Аминокислоты,5.3,5.3,9.7,карнозин,1
627,"Dr. Mercola, L-карнозин с R-альфа-липоевой кислотой, 500 мг, 60 капсул (250 мг в 1 капсуле)",Dr. Mercola,,60,шт.,0.16,6680,Аминокислоты,10.3,5.6,5.6,карнозин альфа липоевой кислота,1
628,"Life Extension, Карнозин, 500 мг, 60 вегетарианских капсул",Life Extension,2025-01-01,60,шт.,0.08,6057,Аминокислоты,11.6,5.8,5.8,карнозин,1
629,"Jarrow Formulas, L-карнозин, 1000 мг, 90 растительных капсул (500 мг в 1 капсуле)",Jarrow Formulas,2025-05-01,90,шт.,0.11,7559,Аминокислоты,11.6,6.4,6.2,карнозин,1
630,"Life Extension, Super Carnosine, 500 мг, 60 вегетарианских капсул",Life Extension,2025-12-01,60,шт.,0.08,5344,Аминокислоты,11.0,4.8,4.8,super carnosine,1
631,"NOW Foods, L-карнозин, 500 мг, 50 растительных капсул",NOW Foods,2025-08-01,50,шт.,0.07,3433,Аминокислоты,10.7,5.1,5.1,карнозин,1
632,"California Gold Nutrition, комплекс с цинк-L-карнозином, 90 вегетарианских капсул",California Gold Nutrition,2025-07-01,90,шт.,0.07,3576,Аминокислоты,10.8,6.1,6.0,комплекс цинк карнозин,1
633,"Source Naturals, L-лейцин, 500 мг, 240 капсул",Source Naturals,2027-02-01,240,шт.,0.2,4698,Аминокислоты,7.9,7.9,14.2,лейцин,1
634,"Nutricost, L-лейцин, 2000 мг, 120 капсул (500 мг в 1 капсуле)",Nutricost,2026-11-01,120,шт.,0.14,2599,Аминокислоты,11.6,6.4,6.2,лейцин,1
635,"NOW Foods, Sports, порошок L-лейцина, 255 г (9 унций)",NOW Foods,,255,г,0.34,5005,Аминокислоты,9.7,9.7,16.8,sports порошок лейцин,1
636,"ALLMAX, Лейцин, 5000 мг, 400 г (14,11 унции)",ALLMAX,2025-10-01,400,г,0.5,4761,Аминокислоты,17.0,9.7,9.7,лейцин,1
637,"EVLution Nutrition, L-лейцин 2000, без добавок, 200 г (7,05 унции)",EVLution Nutrition,2026-09-01,200,г,0.26,1804,Аминокислоты,9.1,9.1,9.4,лейцин добавка,1
638,"Swanson, L-лейцин, 500 мг, 60 растительных капсул",Swanson,2025-07-01,60,шт.,0.09,1415,Аминокислоты,10.5,5.0,5.0,лейцин,1
639,"Primaforce, L-лейцин, чистый лейцин в порошке, без добавок, 2,2 фунта (35 унций)",Primaforce,2026-10-01,1000,г,1.2,6056,Аминокислоты,23.2,14.0,14.0,лейцин чистый лейцин порошок добавка,1
640,"MuscleTech, пептид 185, 2000 мг, 84 капсулы (666 мг в 1 капсуле)",MuscleTech,,84,шт.,0.11,14698,Аминокислоты,11.0,5.8,5.8,пептид,1
641,"Country Life, L-лизин, 1000 мг, 100 таблеток",Country Life,2026-10-01,100,шт.,0.41,2428,Аминокислоты,13.0,6.9,6.9,лизин,1
642,"Country Life, L-лизин, улучшенная формула, 1500 мг, 180 веганских капсул (500 мг в 1 капсуле)",Country Life,2025-09-01,180,шт.,0.36,3337,Аминокислоты,14.0,7.4,7.4,лизин улучшать формула,1
643,"Life Extension, L-лизин, 620 мг, 100 растительных капсул",Life Extension,2026-01-01,100,шт.,0.14,1763,Аминокислоты,11.7,6.4,6.2,лизин,1
644,"Solaray, L-лизин, 500 мг, 60 вегетарианских капсул",Solaray,2027-04-01,60,шт.,0.09,1489,Аминокислоты,5.0,5.0,10.8,лизин,1
645,"Jarrow Formulas, L-лизин, 500 мг, 100 капсул",Jarrow Formulas,2025-06-01,100,шт.,0.11,1695,Аминокислоты,11.4,8.5,6.2,лизин,1
646,"Source Naturals, L-лизин, 500 мг, 200 капсул",Source Naturals,2028-01-01,200,шт.,0.2,2460,Аминокислоты,13.7,7.4,7.4,лизин,1
