,Код продукта,Название продукта,Бренд,Срок годности,Количество в упаковке,Единица измерения,Вес упаковки,Цена,Категория,Длина упаковки,Ширина упаковки,Высота упаковки
3841,LEX-17586,"Life Extension, витамин D3 с Sea-Iodine, 125 мкг (5000 МЕ), 60 капсул",Life Extension,12.2025,60,шт.,0.05,2 026 ₽,Витамины,11,5,5
3842,DVI-25533,"DaVinci Laboratories of Vermont, жидкий витамин D3, 10 000 МЕ, 30 мл (1 жидк. унция)",DaVinci Laboratories of Vermont,10.2025,30,мл,0.07,3 353 ₽,Витамины,10.7,3.2,3
3843,MGF-10221,"MegaFood, витамин D3, 2000 МЕ (50 мкг), 60 таблеток",MegaFood,10.2026,60,шт.,0.23,4 453 ₽,Витамины,11,6,6
3844,CLF-05821,"Country Life, Vegan D3, 125 mcg (5,000 IU), 60 Vegan Softgels",Country Life,07.2026,60,шт.,0.14,4 396 ₽,Витамины,9.1,5.1,5.1
3845,NFS-01050,"Natural Factors, витамин D3, 25 мкг (1000 МЕ), 90 таблеток",Natural Factors,05.2025,90,шт.,0.04,1 018 ₽,Витамины,10,5.6,5.5
3846,SNS-02681,"Source Naturals, Витамин D-3, 50 мкг (2000 МЕ), 400 капсул",Source Naturals,09.2025,400,шт.,0.25,3 368 ₽,Витамины,14.2,7.9,7.9
3847,THR-16801,"Thorne, витамин D в жидкой форме, 30 мл (1 жидк. унция)",Thorne,11.2025,30,мл,0.07,3 066 ₽,Витамины,3.3,3.3,10.4
3848,NOW-00369,"NOW Foods, витамины D3 и K2, 120 растительных капсул",NOW Foods,09.2026,120,шт.,0.08,1 793 ₽,Витамины,10.9,5.1,5.1
3849,MRM-23107,"MRM Nutrition, веганские витамины D3 и K2, 62,5 мкг (2500 МЕ), 60 веганских капсул",MRM Nutrition,09.2026,60,шт.,0.05,1 920 ₽,Витамины,9.4,5,4.8
3850,SNS-02337,"Source Naturals, витамин D3, 5000 МЕ, 120 капсул",Source Naturals,12.2025,120,шт.,0.07,1 561 ₽,Витамины,5.1,5.1,8.9
3851,SOR-38584,"Solaray, витамины D3 и K2, без сои, 60 растительных капсул",Solaray,08.2026,60,шт.,0.06,2 915 ₽,Витамины,10.9,4.6,4.6
3852,LEX-20406,"Life Extension, витамины D и К с йодом Sea-Iodine, 60 капсул",Life Extension,12.2025,60,шт.,0.05,3 211 ₽,Витамины,11.7,5.7,5.7
3853,NFS-01054,"Natural Factors, витамин D3, 25 мкг (1000 МЕ), 180 капсул",Natural Factors,06.2027,180,шт.,0.08,1 522 ₽,Витамины,9.8,5.6,5.6
3854,NLI-12093,"Nature's Life, D-3, 50 мкг, 120 мягких таблеток",Nature's Life,02.2026,120,шт.,0.05,2 025 ₽,Витамины,9.5,4.8,4.7
3855,NAP-01048,"NaturesPlus, Витамин D3, 10 000 МЕ (250 мкг), 60 мягких таблеток",NaturesPlus,10.2024,60,шт.,0.09,4 017 ₽,Витамины,10.2,5.6,5.6
3856,NRT-15606,"Nature's Bounty, D3, 25 мкг (1000 МЕ), 250 мягких таблеток ускоренного высвобождения",Nature's Bounty,05.2024,250,шт.,0.07,2 324 ₽,Витамины,5.8,5.8,10.9
3857,DRB-00363,"Doctor's Best, Витамин D3, 125 мкг (5000 МЕ), 720 мягких желатиновых капсул",Doctor's Best,05.2025,720,шт.,0.22,3 146 ₽,Витамины,12.4,6.6,6.6
3858,BLB-00303,"Bluebonnet Nutrition, витамины A и D3, 100 капсул",Bluebonnet Nutrition,06.2025,100,шт.,0.16,2 347 ₽,Витамины,5.1,5.1,9.7
3859,CAL-49315,"KAL, D-3, лимонное безе, 25 мкг (1000 МЕ), 100 мини-таблеток",KAL,03.2027,100,шт.,0.05,1 672 ₽,Витамины,10.9,5,4.8
3860,NWY-15836,"Nature's Way, витамин D3 Max, 125 мкг (5000 МЕ), 240 мягких таблеток",Nature's Way,10.2026,240,шт.,0.1,3 210 ₽,Витамины,11.6,6.2,6.2
3861,THR-13801,"Thorne, D-5000, 125 мкг (5000 МЕ), 60 капсул",Thorne,04.2026,60,шт.,0.02,2 917 ₽,Витамины,8.4,4.6,4.6
3862,LEX-17136,"Life Extension, витамин D3, 125 мкг (5000 МЕ), 60 капсул",Life Extension,11.2025,60,шт.,0.04,1 491 ₽,Витамины,8.4,4.6,4.3
3863,LEX-17539,"Life Extension, Витамин D3, 25 мкг (1000 МЕ), 90 мягких таблеток",Life Extension,04.2025,90,шт.,0.04,1 067 ₽,Витамины,9.3,4.7,4.7
3864,THR-50001,"Thorne, витамины D и K2, 25 мкг (1000 МЕ), 30 мл (1 жидк. унция)",Thorne,11.2025,30,мл,0.08,4 942 ₽,Витамины,10.7,3.3,3.3
3865,SNS-02338,"Source Naturals, Витамин D-3, 5000 МЕ, 240 капсул",Source Naturals,12.2025,240,шт.,0.14,2 662 ₽,Витамины,6.1,6.1,10.9
3866,PUR-23001,"Pure Essence, витамин D, 2000 МЕ, 30 вегитарианских капсул",Pure Essence,05.2026,30,шт.,0.11,1 621 ₽,Витамины,4.8,4.8,8.9
3867,NOW-00364,"NOW Foods, витамин D3, структурная поддержка, 10 мкг (400 МЕ), 180 мягких таблеток",NOW Foods,08.2026,180,шт.,0.07,876 ₽,Витамины,8.9,4.6,4.6
3868,ZAH-00039,"Zahler, Витамин D3, улучшенная формула D3, 50 мкг (2000 МЕ), 120 мягких таблеток",Zahler,02.2026,120,шт.,0.06,2 226 ₽,Витамины,8.8,5.2,5
3869,ZAH-00045,"Zahler, Витамин D3, улучшенная формула D3, 250 мкг (10 000 МЕ), 250 мягких таблеток",Zahler,11.2024,250,шт.,0.11,5 808 ₽,Витамины,9.7,5.3,5.3
3870,CAL-50092,"KAL, D3, лимон и лайм, 125 мкг (5000 МЕ), 90 мини-таблеток",KAL,04.2027,90,шт.,0.05,2 605 ₽,Витамины,12.2,10.9,5
3871,NAP-01047,"NaturesPlus, витамин D3, 125 мкг (5000 МЕ), 60 мягких таблеток",NaturesPlus,07.2025,60,шт.,0.09,3 807 ₽,Витамины,10.2,5.6,5.6
3872,NDM-02585,"Nature Made, Vitamin D3, 50 mcg, 90 Softgels",Nature Made,04.2026,90,шт.,0.04,1 894 ₽,Витамины,11,5,5
3873,SDN-19941,"Sundown Naturals, Витамин D3, 50 мкг (2000 МЕ), 350 мягких таблеток",Sundown Naturals,10.2026,350,шт.,0.11,4 335 ₽,Витамины,11.6,6.4,6.2
3874,SOL-19377,"Solgar, витамин D3 (холекальциферол), 125 мкг (5000 МЕ), 100 капсул",Solgar,12.2026,100,шт.,0.12,2 467 ₽,Витамины,8.9,5.1,5.1
3875,NFS-01056,"Natural Factors, Витамин D3, 125 мкг (5000 МЕ), 120 мягких желатиновых капсул",Natural Factors,10.2024,120,шт.,0.07,2 021 ₽,Витамины,10,5.5,5.5
3876,SNS-02792,"Source Naturals, витамин D3, 10 000 МЕ, 120 капсул",Source Naturals,03.2025,120,шт.,0.05,1 948 ₽,Витамины,7.6,4.3,4.3
3877,NOR-31140,"Nordic Naturals, Жевательные таблетки с витамином D3, со вкусом лесных ягод, 1000 МЕ, 60 шт.",Nordic Naturals,12.2024,60,шт.,0.23,2 398 ₽,Витамины,11.7,6.4,6.2
3878,PRT-10376,"Protocol for Life Balance, Витамин D3, 10 000 МЕ, 120 капсул",Protocol for Life Balance,07.2026,120,шт.,0.06,3 066 ₽,Витамины,4.6,4.6,17.3
3879,JRW-30005,"Jarrow Formulas, Витамин D3, максимальная эффективность, 125 мкг (5000 МЕ), 100 мягких таблеток",Jarrow Formulas,01.2025,100,шт.,0.05,2 403 ₽,Витамины,9.4,5.2,5.1
3880,IRW-58051,"Irwin Naturals, Sunny Mood, 75 мягких желатиновых капсул с жидкостью",Irwin Naturals,07.2025,75,шт.,0.34,4 779 ₽,Витамины,6.6,6.6,12.4
3881,BLB-00362,"Bluebonnet Nutrition, Earth Sweet Chewables, витамин D3, малина, 25 мкг (1000 МЕ), 90 жевательных таблеток",Bluebonnet Nutrition,11.2025,90,шт.,0.16,2 078 ₽,Витамины,10.3,5.6,5.5
3882,LIF-62027,"LifeTime Vitamins, Liquid D3, высокая эффективность, лесные ягоды, 100 мкг (4000 МЕ), 480 мл (16 жидк. Унций)",LifeTime Vitamins,09.2024,473,мл,0.75,3 489 ₽,Витамины,21.1,16.1,7.6
3883,PRT-10372,"Protocol for Life Balance, Витамин D3, высокая эффективность, 5000 МЕ, 120 мягких таблеток",Protocol for Life Balance,06.2027,120,шт.,0.05,2 446 ₽,Витамины,8.8,4.7,4.7
3884,CAL-60720,"KAL, Dinosaurs, Vitamin D-Rex, со вкусом арбуза, 600 МЕ, 120 микротаблеток",KAL,07.2025,120,шт.,0.04,1 938 ₽,Витамины,4.8,4.8,10.8
3885,NAP-00991,"NaturesPlus, витамин D3, 400 МЕ, 90 таблеток",NaturesPlus,04.2027,90,шт.,0.07,1 354 ₽,Витамины,4.6,4.6,7.9
3886,ZAH-00044,"Zahler, Витамин D3, улучшенная формула D3, 250 мкг (10 000 МЕ), 120 мягких таблеток",Zahler,03.2026,120,шт.,0.06,4 130 ₽,Витамины,8.8,5.1,5
3887,NWY-15604,"Nature's Way, витамин D3, повышенная сила действия, 50 мкг (2000 МЕ), 240 мягких таблеток",Nature's Way,10.2026,240,шт.,0.09,2 762 ₽,Витамины,10.7,5.1,5
3888,DRB-00218,"Doctor's Best, витамин D3, 125 мкг (5 000 МЕ), 180 капсул",Doctor's Best,12.2025,180,шт.,0.07,1 182 ₽,Витамины,9.9,5.3,5.3
3889,FBS-50070,"Futurebiotics, витамины K2 + D3 с витамином K2 в виде MK-7, 120 капсул",Futurebiotics,07.2025,120,шт.,0.07,3 210 ₽,Витамины,9.9,5.1,5.1
3890,NOW-00372,"NOW Foods, витамин D3, высокоактивный, 5000 МЕ, 120 капсул",NOW Foods,02.2028,120,шт.,0.05,1 363 ₽,Витамины,8.9,4.7,4.6
3891,NDM-02621,"Nature Made, D3, Extra Strength, 125 мкг, 90 мягких таблеток",Nature Made,06.2024,90,шт.,0.05,3 141 ₽,Витамины,10.9,5.1,5.1
3892,DEV-00033,"Deva, веганский витамин D, D2, 60 мкг (2400 МЕ), 90 таблеток",Deva,08.2024,90,шт.,0.05,1 626 ₽,Витамины,8.6,4.8,4.8
3893,KIM-02144,"Kirkman Labs, Витамин D3, 25 мкг (1000 МЕ), 120 капсул",Kirkman Labs,04.2026,120,шт.,0.05,3 139 ₽,Витамины,4.6,4.6,8.4
3894,NFS-01064,"Natural Factors, витамин D3, 250 мкг (10 000 МЕ), 120 мягких таблеток",Natural Factors,07.2025,120,шт.,0.06,2 602 ₽,Витамины,10,5.6,5.5
3895,NTW-00639,"NatureWise, витамин D3, 25 мкг (1000 МЕ), 360 капсул",NatureWise,07.2026,360,шт.,0.11,2 287 ₽,Витамины,11,5.8,5.7
3896,MAV-14772,"Mason Natural, витамин D3, 25 мкг (1000 МЕ), 120 капсул",Mason Natural,11.2024,120,шт.,0.07,1 473 ₽,Витамины,10.7,4.8,4.8
3897,CAL-64485,"KAL, D-3, перечная мята, 125 мкг (5000 МЕ), 60 жевательных таблеток",KAL,05.2025,60,шт.,0.05,1 938 ₽,Витамины,10.9,5,5
3898,BLB-00369,"Bluebonnet Nutrition, Витамин D3, 5000 МЕ, 120 растительных капсул",Bluebonnet Nutrition,09.2026,120,шт.,0.29,3 325 ₽,Витамины,13.2,7.1,7.1
3899,NOW-00367,"NOW Foods, витамин D3, высокоактивный, 50 мкг (2000 МЕ), 120 капсул",NOW Foods,11.2027,120,шт.,0.05,962 ₽,Витамины,9.7,4.8,4.8
3900,NOW-00376,"NOW Foods, витамин D3, высокоактивный, 10 000 МЕ, 120 капсул",NOW Foods,02.2026,120,шт.,0.05,1 747 ₽,Витамины,9,4.6,4.6
3901,ZAH-08148,"Zahler, витамин D3, улучшенная формула D3, 1000 МЕ, 30 мл (1 жидк. унция)",Zahler,10.2025,30,мл,0.07,2 950 ₽,Витамины,10.2,3,3
3902,EVL-02290,"EVLution Nutrition, витамины D3 и К2, 60 вегетарианских капсул",EVLution Nutrition,07.2025,60,шт.,0.05,1 763 ₽,Витамины,11.2,5.8,5.8
3903,NAP-30735,"NaturesPlus, Source of Life, Garden, витамин D3, 60 веганских капсул",NaturesPlus,09.2027,60,шт.,0.07,2 584 ₽,Витамины,5.8,5.8,10.9
3904,NOW-00385,"NOW Foods, витамин D3, 250 мкг (10 000 МЕ), 240 капсул",NOW Foods,03.2026,240,шт.,0.09,2 876 ₽,Витамины,9.1,4.6,4.6
3905,PRT-10367,"Protocol for Life Balance, Витамин D3, высокая эффективность, 2000 МЕ, 120 мягких таблеток",Protocol for Life Balance,07.2027,120,шт.,0.05,1 763 ₽,Витамины,8.9,4.7,4.6
3906,NAP-10483,"NaturesPlus, Liquid Sunshine, витамин D3, тропические цитрусы, 125 мкг (5000 МЕ), 473,18 мл (16 жидк. Унций)",NaturesPlus,05.2025,473,мл,0.59,2 933 ₽,Витамины,17.7,7.7,7.7
3907,NAU-62843,"NATURELO, витамин D3, на растительной основе, 125 мкг (5000 МЕ), 180 капсул, которые легко глотать",NATURELO,07.2025,180,шт.,0.1,5 095 ₽,Витамины,11,6,5.8
3908,PUR-26001,"Pure Essence, Breast-D, 30 вегетарианских капсул",Pure Essence,03.2026,30,шт.,0.11,4 429 ₽,Витамины,8.9,4.8,4.8
3909,CAL-17313,"KAL, D3, корица, 50 мкг (2000 МЕ), 100 жевательных таблеток",KAL,07.2025,100,шт.,0.05,1 938 ₽,Витамины,10.9,6.2,5
3910,NRT-29176,"Nature's Bounty, Витамин D3, 125 мкг (5000 МЕ), 240 мягких желатиновых капсул с быстрым высвобождением действующего вещества",Nature's Bounty,06.2026,240,шт.,0.13,4 660 ₽,Витамины,11.4,6.4,6.4
3911,NTW-00620,"NatureWise, витамин D3, 125 мкг (5000 МЕ), 90 капсул",NatureWise,08.2024,90,шт.,0.04,2 110 ₽,Витамины,8.9,4.7,4.7
3912,MAV-15012,"Mason Natural, витамин D3, 50 мкг (2000 МЕ), 120 капсул",Mason Natural,12.2024,120,шт.,0.07,2 086 ₽,Витамины,10.7,4.8,4.8
3913,NTL-06014,"Natrol, витамин D3, здоровье костей и суставов, максимальная сила действия, 10 000 МЕ, 60 таблеток",Natrol,02.2025,60,шт.,0.07,1 697 ₽,Витамины,10.9,4.8,4.8
3914,SOL-03317,"Solgar, витамин D3 (холекальциферол), 55 мкг (2200 МЕ), 100 вегетарианских капсул",Solgar,11.2026,100,шт.,0.18,2 183 ₽,Витамины,9.9,5.3,5.3
3915,BLB-00364,"Bluebonnet Nutrition, Earth Sweet Chewables, витамин D3, со вкусом малины, 2000 МЕ, 90 жевательных таблеток",Bluebonnet Nutrition,Not provided,90,шт.,0.23,2 664 ₽,Витамины,5.8,5.8,10.9
3916,NOR-01601,"Nordic Naturals, Витамин D3, апельсин, 1000 МЕ, 120 мягких таблеток",Nordic Naturals,01.2026,120,шт.,0.07,2 804 ₽,Витамины,10.9,5.1,5.1
3917,SRE-09012,"Sports Research, Витамин D3, максимальная эффективность, 250 мкг (10 000 МЕ), 120 мягких таблеток",Sports Research,02.2025,120,шт.,0.07,2 912 ₽,Витамины,9.4,5.2,5.2
3918,ENZ-15010,"Enzymedica, Telomere Plus, 30 капсул",Enzymedica,08.2025,30,шт.,0.04,5 582 ₽,Витамины,9.1,5.1,5
3919,JRW-30003,"Jarrow Formulas, Витамин D3, повышенная сила действия, 25 мкг (1000 МЕ), 100 мягких таблеток",Jarrow Formulas,08.2025,100,шт.,0.05,1 559 ₽,Витамины,9.5,5.1,5.1
3920,SOL-03321,"Solgar, Витамин D3 (холекальциферол), 400 МЕ, 250 мягких желатиновых капсул",Solgar,11.2026,250,шт.,0.38,2 013 ₽,Витамины,12.7,6.9,6.9
3921,PRT-10370,"Protocol for Life Balance, жидкий витамин D3, 400 МЕ, 59 мл (2 жидк. унции)",Protocol for Life Balance,07.2026,59,мл,0.16,1 940 ₽,Витамины,11.9,4.1,4.1
3922,CAR-01483,"Carlson, Solar D Gems, натуральный лимонный вкус, 4000 МЕ, 360 мягких таблеток",Carlson,11.2024,360,шт.,0.34,5 729 ₽,Витамины,8.1,8.1,15.7
3923,ZAH-00037,"Zahler, витамин D3, 25 мкг (1000 МЕ), 250 капсул",Zahler,11.2024,250,шт.,0.11,2 851 ₽,Витамины,9.9,5.5,5.5
3924,NOW-00377,"NOW Foods, витамин D3, высокоактивный, 2000 МЕ, 240 капсул",NOW Foods,06.2027,240,шт.,0.08,1 747 ₽,Витамины,8.9,4.6,4.6
3925,MGF-10441,"MegaFood, витамин D3, 125 мкг (5000 МЕ), 120 капсул",MegaFood,10.2025,120,шт.,0.18,6 369 ₽,Витамины,11.2,6,6
3926,NCR-90263,"New Chapter, Ферментированный витамин D3, 2000 МЕ, 60 вегетарианских таблеток",New Chapter,08.2025,60,шт.,0.15,5 098 ₽,Витамины,9.7,5.3,5.3
3927,SRE-01149,"Sports Research, витамин D3 для веганов, 125 мкг (5000 МЕ), 60 растительных капсул",Sports Research,05.2026,60,шт.,0.05,3 062 ₽,Витамины,9.4,5.3,5.2
3928,SOL-35872,"Solgar, витамин D3 (холекальциферол), 250 мкг (10 000 МЕ), 120 капсул",Solgar,10.2026,120,шт.,0.16,2 712 ₽,Витамины,9.7,5.2,5.2
3929,CLF-05816,"Country Life, Витамин D3 высокой эффективности, 250 мкг (10 000 МЕ), 200 мягких таблеток",Country Life,08.2025,200,шт.,0.2,4 114 ₽,Витамины,11.4,6.4,6.4
3930,BTZ-75119,"BioSchwartz, витамин D3, суперсила, 5000 МЕ, 360 капсул",BioSchwartz,08.2026,360,шт.,0.12,2 602 ₽,Витамины,12.4,7.1,7.1
3931,MRM-23105,"MRM Nutrition, Nutrition, витамин D3 для веганов, 2500 МЕ, 60 веганских капсул",MRM Nutrition,07.2026,60,шт.,0.07,2 259 ₽,Витамины,5.1,5.1,9.4
3932,TMR-00189,"Trace Minerals ®, жидкий витамин D3, тропическая вишня, 125 мкг (5000 МЕ), 473 мл (16 жидк. унций)",Trace Minerals ®,06.2025,454,г,0.59,3 960 ₽,Витамины,17,7.6,7.6
3933,SPS-90860,"Superior Source, витамин D3 с повышенной силой действия, 125 мкг (5000 МЕ), 100 быстрорастворимых таблеток MicroLingual",Superior Source,07.2025,100,шт.,0.02,2 183 ₽,Витамины,4.3,4.3,8.9
3934,QRT-00130,"T-RQ, Жевательные мармеладки для взрослых, витамин D3, персик, манго, клубника, 60 жевательных таблеток",T-RQ,10.2025,60,шт.,0.2,1 677 ₽,Витамины,12.4,6.7,6.7
3935,CGN-01034,"California Gold Nutrition, жидкий витамин D3 для детей, 10 мкг (400 МЕ), 10 мл (0,34 жидк. унции)",California Gold Nutrition,07.2024,10,мл,0.05,1 026 ₽,Витамины,7.6,5.1,4.8
3936,NAP-01043,"NaturesPlus, Витамин D3 + K2, 90 капсул",NaturesPlus,05.2026,90,шт.,0.07,3 876 ₽,Витамины,5.6,5.6,10.2
3937,CEN-27415,"21st Century, Витамин D3, 25 мкг (1000 МЕ), 250 мягких таблеток с быстрым высвобождением",21st Century,05.2026,250,шт.,0.07,1 601 ₽,Витамины,9.5,6.1,4.4
3938,NOR-01503,"Nordic Naturals, Витамин D3 5000, со вкусом апельсина, 5000 МЕ, 120 мягких желатиновых капсул",Nordic Naturals,11.2025,120,шт.,0.07,3 665 ₽,Витамины,6.1,6.1,11.2
3939,CGN-01065,"California Gold Nutrition, витамин D3, 125 мкг (5000 МЕ), 90 капсул из рыбьего желатина",California Gold Nutrition,04.2027,90,шт.,0.05,1 059 ₽,Витамины,8.3,4.6,4.4
3940,ZAH-08054,"Zahler, Витамин D3, улучшенная формула D3, 25 мкг (1000 МЕ), 120 мягких таблеток",Zahler,02.2026,120,шт.,0.06,1 659 ₽,Витамины,8.8,5.1,5
3941,NTL-05889,"Natrol, витамин D3 для здоровья костей и суставов, клубничный вкус, 2000 МЕ, 90 таблеток",Natrol,02.2025,90,шт.,0.06,1 626 ₽,Витамины,10.2,5.1,5.1
3942,CAR-14560,"Carlson, Витамин D3, 25 мкг (1000 МЕ), 360 мягких таблеток",Carlson,06.2028,360,шт.,0.25,3 602 ₽,Витамины,13.2,7.2,7.1
3943,CGN-01196,"California Gold Nutrition, жевательный витамин D3, со вкусом лимона, апельсина и клубники, 2000 МЕ, 90 жевательных таблеток (1000 МЕ в 1 таблетке)",California Gold Nutrition,Not provided,90,шт.,0.23,1 652 ₽,Витамины,12.3,6.7,6.7
3944,NOR-01619,"Nordic Naturals, витамин D3 5000, со вкусом апельсина, 5000 МЕ, 120 капсул",Nordic Naturals,11.2025,120,шт.,0.07,3 665 ₽,Витамины,10.9,5.8,2.8
3945,AUN-64805,"Aurora Nutrascience, Mega-Liposomal Vitamin D3+, витамин D3, органический фруктовый вкус, 9000 МЕ, 480 мл (16 жидк. унций)",Aurora Nutrascience,05.2025,473,мл,0.55,5 102 ₽,Витамины,21.1,6.4,6.1
3946,CTO-04108,"Chapter One, Витамин D3, жевательные конфеты со вкусом, 60 жевательных конфет",Chapter One,09.2025,60,шт.,0.19,2 950 ₽,Витамины,11.4,6.4,6.4
3947,ZAH-00042,"Zahler, Витамин D-3, улучшенная формула D3, 5000 МЕ, 120 мягких таблеток",Zahler,11.2024,120,шт.,0.05,2 649 ₽,Витамины,8.9,4.8,4.8
3948,ZAH-00043,"Zahler, Витамин D3, улучшенная формула D3, 125 мкг (5000 МЕ), 250 мягких таблеток",Zahler,03.2026,250,шт.,0.11,4 450 ₽,Витамины,9.9,5.6,5.6
3949,PHV-41015,"ProHealth Longevity, витамин D3, 1250 мкг (50 000 МЕ), 50 мягких таблеток",ProHealth Longevity,05.2026,50,шт.,0.05,3 421 ₽,Витамины,10,5.6,5.5
3950,EMR-00362,"Emerald Laboratories, Витамин D3, 2500 МЕ, 60 растительных капсул",Emerald Laboratories,01.2027,60,шт.,0.05,1 915 ₽,Витамины,10,5.6,5.6
3951,MRM-23106,"MRM Nutrition, Веганский витамин D3, 5000 МЕ, 60 веганских капсул",MRM Nutrition,09.2026,60,шт.,0.05,3 088 ₽,Витамины,9.4,4.8,4.8
3952,NOW-00355,"NOW Foods, витамин D3, 50 мкг (2000 МЕ), 30 капсул",NOW Foods,10.2027,30,шт.,0.02,507 ₽,Витамины,8.1,4.3,4.6
3953,NOW-00357,"NOW Foods, жевательный витамин D3, натуральный фруктовый вкус, 1000 МЕ, 180 жевательных таблеток",NOW Foods,01.2027,180,шт.,0.07,1 460 ₽,Витамины,4.3,4.3,8.9
3954,SOL-54956,"Solgar, витамин D3, натуральный клубнично-банановый вкус, 25 мкг (1000 МЕ), 100 жевательных таблеток",Solgar,Not provided,100,шт.,0.14,1 502 ₽,Витамины,4.6,4.6,8.4
3955,MCL-01467,"Dr. Mercola, Sunshine D3, спрей с витамином D3, натуральный апельсин, 29 мл (0,98 жидк. унции)",Dr. Mercola,Not provided,28.982,мл,0.08,3 149 ₽,Витамины,10.8,3.2,3
3956,NTH-10070,"Nature's Truth, Vitamin D3, High Potency, 250 mcg (10,000 IU), 100 Quick Release Softgels",Nature's Truth,10.2026,100,шт.,0.07,2 552 ₽,Витамины,9.7,5.1,5.1
3957,ZAH-08084,"Zahler, Витамин D3, 50 000 МЕ, 120 капсул",Zahler,12.2024,120,шт.,0.04,4 978 ₽,Витамины,10.9,5.6,5.6
3958,YUV-61012,"YumV's, бузина, витамины C и D, тройная защита, ягодный вкус, 25 мкг (1000 МЕ), 60 жевательных мармеладок",YumV's,03.2025,60,шт.,0.22,2 762 ₽,Витамины,12.7,6.6,6.6
3959,NTL-05891,"Natrol, витамин D3, здоровье костей и суставов, клубника, 5000 МЕ, 90 таблеток",Natrol,12.2024,90,шт.,0.07,1 917 ₽,Витамины,10.9,4.8,4.8
3960,CAR-49800,"Carlson, Super D3, жевательный витамин D3, натуральный фруктовый вкус, 4000 МЕ, 120 вегетарианских жевательных таблеток (25 мкг (1000 МЕ) в 1 таблетке)",Carlson,09.2026,120,шт.,0.37,3 054 ₽,Витамины,7.4,7.1,13.5
3961,GOL-11656,"Garden of Life, Vitamin Code, RAW D3, 50 мкг (2000 МЕ), 120 вегетарианских капсул",Garden of Life,11.2025,120,шт.,0.32,4 892 ₽,Витамины,6.9,6.9,13.5
3962,PUR-26002,"Pure Essence, Breast-D, поддерживает здоровье груди, простаты и сосудов, 90 вегетарианских капсул",Pure Essence,05.2026,90,шт.,0.19,9 308 ₽,Витамины,10.2,5.6,5.6
3963,SPS-90850,"Superior Source, витамин D3 с повышенной силой действия, 25 мкг (1000 МЕ), 100 быстрорастворимых таблеток MicroLingual",Superior Source,09.2025,100,шт.,0.02,1 233 ₽,Витамины,4.3,4.3,8.9
3964,MCL-01996,"Dr. Mercola, витамины D3 и K2, 90 капсул",Dr. Mercola,03.2026,90,шт.,0.16,14 368 ₽,Витамины,10.3,5.5,5.5
3965,CEN-27504,"21st Century, Витамин D3, 250 мкг (10 000 МЕ), 110 таблеток",21st Century,06.2026,110,шт.,0.07,1 924 ₽,Витамины,4.6,6.1,9.4
3966,GOL-11861,"Garden of Life, MyKind Organics, веганский витамин D3, со вкусом малины и лимона, 2000 МЕ, 30 вегетарианских жевательных таблеток",Garden of Life,Not provided,30,шт.,0.2,2 605 ₽,Витамины,6.1,6.1,10.4
3967,EMR-00363,"Emerald Laboratories, Витамин D3 и K2, 60 растительных капсул",Emerald Laboratories,02.2027,60,шт.,0.05,3 075 ₽,Витамины,10,5.7,5.6
3968,CAR-01452,"Carlson, Витамин D3, 1000 МЕ (25 мкг), 250 мягких таблеток",Carlson,06.2028,250,шт.,0.18,2 798 ₽,Витамины,6.4,6.4,11.2
3969,MBM-00664,"Metabolic Maintenance, витамин D3, 2000 МЕ, 120 капсул",Metabolic Maintenance,09.2025,120,шт.,0.16,4 455 ₽,Витамины,9.8,5.2,5.1
3970,DRB-00250,"Doctor's Best, витамин D3, 125 мкг (5000 МЕ), 360 мягких таблеток",Doctor's Best,10.2025,360,шт.,0.12,1 929 ₽,Витамины,11.4,6.1,6.1
3971,CAL-41369,"KAL, Витамины D3 и К2 в каплях, с натуральным цитрусовым вкусом, 59 мл (2 жидк. унции)",KAL,02.2026,59,мл,0.11,3 065 ₽,Витамины,12.2,3.6,3.6
3972,MHN-10403,"Michael's Naturopathic, витамин D3, с витамином K2, вкус абрикоса, 5000 мкг, 90 вегетарианских жевательных таблеток",Michael's Naturopathic,10.2026,90,шт.,0.05,3 914 ₽,Витамины,9.7,5.2,5.2
3973,LEX-24226,"Life Extension, Веганский витамин D3, 125 мкг (5000 МЕ), 60 веганских капсул",Life Extension,01.2026,60,шт.,0.04,2 992 ₽,Витамины,9.1,4.7,4.7
3974,ZAH-00038,"Zahler, Витамин D3, улучшенная формула D3, 75 мкг (3000 МЕ), 120 мягких таблеток",Zahler,03.2026,120,шт.,0.06,2 334 ₽,Витамины,8.8,5,5
3975,NRT-35873,"Nature's Bounty, D3, 250 мкг (10000 МЕ), 72 мягких капсул быстрого действия",Nature's Bounty,10.2024,72,шт.,0.05,3 164 ₽,Витамины,5.1,5.1,10.7
3976,CGN-02049,"California Gold Nutrition, витамины D3 и K2, 25 мкг (1000 МЕ), 30 мл (1 жидк. унция)",California Gold Nutrition,04.2025,30,мл,0.08,3 639 ₽,Витамины,9.3,3.4,3.2
3977,CAR-14230,"Carlson, витамин D3, 10000 МЕ (250 мкг), 360 мягких таблеток",Carlson,06.2026,360,шт.,0.32,7 002 ₽,Витамины,13.5,7.4,7.4
3978,MCL-21099,"Dr. Mercola, Витамины D3 и K2 в низкой дозе, 30 капсул",Dr. Mercola,04.2025,30,шт.,0.11,2 764 ₽,Витамины,8.8,5,4.8
